brand,sku,price_positioning,offer_price,regular_price,basket_price,discount_price
leigh miller,1137277.0,0.0,127.84,255.66,132.84,127.82
lemlem,1152850.0,25.0,214.75,327.875,217.25,113.125
les rêveries,1161844.0,0.0,132.31333333333333,321.37666666666667,137.31333333333333,189.06333333333336
leslie amon,1165443.0,100.0,128.75,183.92,133.75,55.16999999999999
lisa marie fernandez,1138292.4285714286,14.102564102564104,241.16666666666666,476.2857142857143,242.83333333333334,235.11904761904762
little liffner,1178317.5,50.0,360.0,360.0,360.0,0.0
loeffler randall,1155997.75,25.0,259.125,259.125,260.375,0.0
loewe,1151637.5567010308,26.467644255232255,902.860824742268,981.3969072164948,903.2731958762887,78.5360824742268
loro piana,1152380.0,0.0,2627.5,2627.5,2627.5,0.0
loveshackfancy,1164203.0,8.333333333333334,284.685,407.34999999999997,286.3516666666667,122.665
low classic,1182852.0,100.0,333.0,555.0,333.0,222.0
mackintosh,1164658.75,50.0,805.75,805.75,805.75,0.0
madeleine thompson,1176041.0,0.0,120.0,400.0,125.0,280.0
magda butrym,1182718.6666666667,27.239819514099523,651.9166666666666,946.3333333333334,651.9166666666666,294.4166666666667
maggie marilyn,1163119.0,0.0,190.5,360.0,193.83333333333334,169.5
maison margiela,1177142.8333333333,28.598484848484848,416.0,733.3333333333334,416.8333333333333,317.3333333333333
maison michel,1113229.5,0.0,387.25,513.25,388.5,126.0
malone souliers,1153103.0714285714,28.33491012298959,384.0357142857143,495.0,384.75,110.96428571428571
mansur gavriel,1142658.3333333333,33.333333333333336,321.3333333333333,570.0,321.3333333333333,248.66666666666666
mara hoffman,1149179.5555555555,55.55555555555556,203.11111111111111,315.0,205.88888888888889,111.88888888888889
marc jacobs,1181115.0,100.0,595.5,1055.0,595.5,459.5
marchesa,1157625.0,66.66666666666667,4683.333333333333,4683.333333333333,4683.333333333333,0.0
marchesa notte,1158453.3333333333,0.0,427.5,886.6666666666666,427.5,459.1666666666667
mark cross,1162650.5,0.0,1652.5,1652.5,1652.5,0.0
marni,1152685.0869565217,8.263339920948617,549.3478260869565,958.1304347826087,550.0,408.7826086956522
marques' almeida,1168221.0,16.666666666666668,203.5,373.9166666666667,206.0,170.41666666666666
mary katrantzou,1165160.2,18.795180722891565,391.9,879.0,392.9,487.1
marysia,1132256.4,41.97428571428571,148.156,262.69,151.656,114.53399999999999
maticevski,1162629.5,0.0,1007.25,1241.25,1007.25,234.0
matteau,1048324.0,100.0,73.5,73.5,78.5,0.0
matthew adams dolan,1184693.0,0.0,176.0,440.0,181.0,264.0
matériel,1163897.5,50.0,454.395,513.4116666666667,454.395,59.01666666666667
max mara,1157673.5428571429,17.80137093005141,635.3714285714286,753.2,636.3714285714286,117.82857142857142
mcq alexander mcqueen,1156896.4285714286,43.628571428571426,296.85714285714283,390.10714285714283,297.57142857142856,93.25
medea,1167917.0,0.0,133.33333333333334,133.33333333333334,138.33333333333334,0.0
melissa odabash,1155351.6666666667,33.333333333333336,160.33333333333334,215.0,163.66666666666666,54.666666666666664
mercedes castillo,1152132.0,0.0,110.0,275.0,115.0,165.0
mes demoiselles,1155087.0,0.0,295.4,422.0,295.4,126.60000000000002
michael kors collection,1157514.75,0.0,1609.5,1837.5,1609.5,228.0
michael michael kors,1156472.8,40.0,160.7,263.3,164.7,102.6
missoni,1152268.5263157894,59.06629754054167,884.7368421052631,1040.842105263158,884.7368421052631,156.10526315789474
miu miu,1129326.177777778,40.96789630083039,1085.1944444444443,1086.2222222222222,1085.3055555555557,1.0277777777777777
mm6 maison margiela,1159615.294117647,10.998237172540351,348.29411764705884,552.2058823529412,349.47058823529414,203.91176470588235
molly goddard,1184182.0,40.0,459.2,669.2,459.2,210.0
moncler,1134687.717948718,9.265734265734267,724.3589743589744,724.3589743589744,724.3589743589744,0.0
moncler genius,1162985.1538461538,51.55760215262559,1417.3076923076924,1417.3076923076924,1417.3076923076924,0.0
monica vinader,1179194.0,0.0,186.66666666666666,186.66666666666666,190.0,0.0
monse,1159593.3333333333,6.395348837209302,613.585,1345.8333333333333,613.585,732.2483333333333
moon boot,1162314.0,53.84615384615385,85.0,85.0,90.0,0.0
morgan lane,1136246.0,0.0,110.5,110.5,115.5,0.0
moschino,1181561.0555555555,55.316091954022994,532.5555555555555,562.3333333333334,533.3888888888889,29.77777777777778
mother,1136538.0,0.0,217.0,217.0,217.0,0.0
mother of pearl,1162780.0,0.0,177.0,295.0,182.0,118.0
mugler,1172241.0,51.81023720349563,1064.4444444444443,1324.4444444444443,1064.4444444444443,260.0
myla,1231227.0,0.0,55.0,55.0,60.0,0.0
nagnata,1128580.0,0.0,95.0,190.0,100.0,95.0
nanushka,1161062.5,23.196445141016945,239.1875,383.175,241.4375,143.9875
needle & thread,1160291.5,0.0,192.5,254.0,195.0,61.5
